Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-11-30,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-01,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-02,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-05,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-06,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-07,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-08,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-09,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-12,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-13,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-14,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-15,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-16,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-19,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-20,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-21,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-22,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-23,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-27,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-28,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-29,8.514000,8.514000,8.514000,8.514000,8.514000,0
2022-12-30,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-02,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-03,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-04,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-05,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-06,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-09,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-10,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-11,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-12,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-13,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-16,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-17,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-18,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-19,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-20,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-23,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-24,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-25,8.514000,8.514000,8.514000,8.514000,8.514000,0
2023-01-26,8.663000,8.683000,8.661000,8.680000,8.680000,741
2023-01-27,8.685000,8.700000,8.677000,8.700000,8.700000,100
2023-01-30,8.651000,8.715000,8.651000,8.705000,8.705000,27113
2023-01-31,8.684000,8.684000,8.631000,8.661000,8.661000,6279
2023-02-01,8.668000,8.677000,8.591000,8.591000,8.591000,8512
2023-02-02,8.608000,8.631000,8.567000,8.630000,8.630000,47173
2023-02-03,8.587000,8.665000,8.587000,8.656000,8.656000,1807
2023-02-06,8.634000,8.642000,8.595000,8.618000,8.618000,71173
2023-02-07,8.661000,8.684000,8.649000,8.672000,8.672000,6697
2023-02-08,8.703000,8.728000,8.670000,8.670000,8.670000,3395
2023-02-09,8.731000,8.769000,8.731000,8.739000,8.739000,15804
2023-02-10,8.686000,8.739000,8.686000,8.708000,8.708000,1785
2023-02-13,8.709000,8.790000,8.709000,8.790000,8.790000,13711
2023-02-14,8.815000,8.861000,8.813000,8.813000,8.813000,16390
2023-02-15,8.753000,8.804000,8.753000,8.799000,8.799000,1140
2023-02-16,8.853000,8.853000,8.781000,8.816000,8.816000,4462
2023-02-17,8.749000,8.815000,8.738000,8.815000,8.815000,4541
2023-02-20,8.837000,8.837000,8.817000,8.834000,8.834000,3039
2023-02-21,8.807000,8.892000,8.807000,8.871000,8.871000,2539
2023-02-22,8.830000,8.830000,8.764000,8.811000,8.811000,3056
2023-02-23,8.814000,8.818000,8.805000,8.810000,8.810000,1513
2023-02-24,8.839000,8.844000,8.752000,8.752000,8.752000,2125
2023-02-27,8.837000,8.848000,8.832000,8.846000,8.846000,3426
2023-02-28,8.811000,8.852000,8.800000,8.816000,8.816000,2678
2023-03-01,8.814000,8.820000,8.734000,8.751000,8.751000,28899
2023-03-02,8.736000,8.808000,8.736000,8.806000,8.806000,15257
2023-03-03,8.836000,8.847000,8.812000,8.824000,8.824000,1089
2023-03-06,8.831000,8.831000,8.764000,8.788000,8.788000,1467
2023-03-07,8.787000,8.808000,8.733000,8.733000,8.733000,5138
2023-03-08,8.704000,8.756000,8.704000,8.752000,8.752000,13436
2023-03-09,8.728000,8.746000,8.728000,8.745000,8.745000,6027
2023-03-10,8.640000,8.642000,8.590000,8.633000,8.633000,7907
2023-03-13,8.586000,8.586000,8.414000,8.414000,8.414000,10668
2023-03-14,8.440000,8.534000,8.398000,8.534000,8.534000,13910
2023-03-15,8.476000,8.476000,8.250000,8.254000,8.254000,12614
2023-03-16,8.368000,8.368000,8.270000,8.329000,8.329000,2665
2023-03-17,8.399000,8.429000,8.235000,8.250000,8.250000,51802
2023-03-20,8.208000,8.358000,8.208000,8.358000,8.358000,8842
2023-03-21,8.389000,8.444000,8.389000,8.413000,8.413000,7810
2023-03-22,8.435000,8.464000,8.435000,8.456000,8.456000,2981
2023-03-23,8.402000,8.402000,8.355000,8.371000,8.371000,26137
2023-03-24,8.334000,8.334000,8.249000,8.308000,8.308000,27640
2023-03-27,8.402000,8.411000,8.374000,8.395000,8.395000,131
2023-03-28,8.460000,8.460000,8.378000,8.416000,8.416000,2424
2023-03-29,8.433000,8.488000,8.430000,8.488000,8.488000,765
2023-03-30,8.525000,8.557000,8.525000,8.552000,8.552000,2976
2023-03-31,8.560000,8.587000,8.560000,8.587000,8.587000,1410
2023-04-03,8.630000,8.654000,8.625000,8.628000,8.628000,5052
2023-04-04,8.697000,8.697000,8.606000,8.609000,8.609000,2179
2023-04-05,8.618000,8.645000,8.618000,8.645000,8.645000,379
2023-04-06,8.685000,8.721000,8.685000,8.714000,8.714000,534
2023-04-11,8.789000,8.789000,8.739000,8.758000,8.758000,729
2023-04-12,8.760000,8.805000,8.760000,8.778000,8.778000,937
2023-04-13,8.801000,8.801000,8.780000,8.794000,8.794000,1740
2023-04-14,8.801000,8.826000,8.801000,8.804000,8.804000,2
