Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,136.960007,137.279999,136.399994,136.559998,136.559998,68260
2022-11-30,137.500000,137.880005,136.759995,137.179993,137.179993,46772
2022-12-01,138.500000,138.559998,137.339996,137.940002,137.940002,62324
2022-12-02,137.539993,138.720001,136.759995,138.240005,138.240005,60130
2022-12-05,137.779999,138.020004,136.679993,137.539993,137.539993,65223
2022-12-06,137.380005,137.639999,136.119995,136.639999,136.639999,44534
2022-12-07,136.240005,136.679993,135.380005,135.820007,135.820007,68768
2022-12-08,135.899994,136.080002,135.139999,135.699997,135.699997,40412
2022-12-09,136.059998,136.800003,135.320007,136.759995,136.759995,34090
2022-12-12,136.039993,136.660004,135.699997,136.199997,136.199997,31182
2022-12-13,136.660004,139.639999,136.179993,138.020004,138.020004,65761
2022-12-14,137.440002,137.699997,136.800003,137.580002,137.580002,102155
2022-12-15,136.520004,136.580002,133.039993,133.179993,133.179993,148196
2022-12-16,133.160004,133.300003,131.460007,132.119995,132.119995,89529
2022-12-19,132.639999,133.100006,132.460007,132.520004,132.520004,57011
2022-12-20,131.559998,132.380005,131.240005,132.020004,132.020004,25822
2022-12-21,132.580002,134.080002,132.360001,134.059998,134.059998,34514
2022-12-22,134.179993,134.639999,132.160004,132.259995,132.259995,26176
2022-12-23,132.679993,133.020004,132.000000,132.699997,132.699997,15113
2022-12-27,133.740005,133.839996,132.960007,133.080002,133.080002,33263
2022-12-28,133.440002,133.440002,132.399994,132.399994,132.399994,32689
2022-12-29,132.160004,133.779999,131.940002,133.779999,133.779999,79264
2022-12-30,133.139999,133.179993,132.479996,132.520004,132.520004,20687
2023-01-02,133.139999,133.820007,133.000000,133.800003,133.800003,13856
2023-01-03,134.119995,135.860001,133.940002,134.979996,134.979996,41559
2023-01-04,135.740005,137.899994,135.740005,137.899994,137.899994,135519
2023-01-05,137.360001,137.899994,137.000000,137.360001,137.360001,96213
2023-01-06,137.600006,139.000000,136.839996,139.000000,139.000000,122253
2023-01-09,139.259995,141.059998,139.179993,140.759995,140.759995,239543
2023-01-10,140.139999,140.619995,139.800003,140.580002,140.580002,41081
2023-01-11,140.800003,142.320007,140.779999,142.119995,142.119995,59811
2023-01-12,142.399994,143.539993,142.220001,143.259995,143.259995,130439
2023-01-13,143.199997,143.860001,143.080002,143.479996,143.479996,131313
2023-01-16,143.740005,144.100006,143.500000,143.899994,143.899994,60782
2023-01-17,144.100006,145.179993,143.440002,144.399994,144.399994,67449
2023-01-18,144.440002,145.000000,144.179993,144.339996,144.339996,59368
2023-01-19,143.820007,143.839996,141.800003,142.020004,142.020004,113114
2023-01-20,142.619995,143.000000,142.199997,143.000000,143.000000,51415
2023-01-23,143.419998,144.039993,142.860001,143.600006,143.600006,85208
2023-01-24,143.899994,143.899994,142.940002,143.619995,143.619995,38494
2023-01-25,143.619995,143.740005,142.380005,143.399994,143.399994,28199
2023-01-26,144.039993,144.039993,143.279999,143.899994,143.899994,57692
2023-01-27,143.820007,144.399994,143.399994,144.080002,144.080002,16375
2023-01-30,143.460007,144.059998,142.520004,143.899994,143.899994,57227
2023-01-31,143.520004,143.899994,142.619995,143.860001,143.860001,29838
2023-02-01,143.740005,144.720001,143.639999,144.320007,144.320007,58882
2023-02-02,145.259995,147.539993,145.199997,147.520004,147.520004,75367
2023-02-03,146.419998,147.160004,145.940002,147.160004,147.160004,67657
2023-02-06,146.080002,146.479996,145.259995,145.979996,145.979996,53905
2023-02-07,145.880005,146.100006,145.259995,145.759995,145.759995,90185
2023-02-08,146.820007,147.259995,146.279999,146.539993,146.539993,76457
2023-02-09,148.119995,148.860001,147.500000,147.500000,147.500000,106980
2023-02-10,146.479996,147.080002,144.899994,145.580002,145.580002,49159
2023-02-13,145.699997,146.479996,145.520004,146.339996,146.339996,44116
2023-02-14,146.500000,147.580002,146.059998,146.259995,146.259995,55582
2023-02-15,146.300003,147.559998,146.300003,147.479996,147.479996,32779
