Date,Open,High,Low,Close,Adj Close,Volume
1998-01-30,79.937500,79.937500,78.968750,79.234375,45.613113,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015625,46.638512,955600
1998-02-03,81.000000,81.671875,80.656250,81.656250,47.007332,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,46.755501,753200
1998-02-05,81.812500,81.906250,80.734375,81.234375,46.764446,1067600
1998-02-06,81.500000,82.171875,81.359375,82.109375,47.268200,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,47.079269,515900
1998-02-10,82.031250,83.343750,81.921875,83.156250,47.870842,892100
1998-02-11,82.968750,83.390625,82.843750,83.156250,47.870842,515000
1998-02-12,82.734375,84.109375,82.375000,83.687500,48.176640,1065000
1998-02-13,83.343750,83.843750,83.171875,83.640625,48.149685,596700
1998-02-17,84.312500,84.718750,83.890625,84.062500,48.392532,840600
1998-02-18,84.078125,84.703125,83.843750,84.625000,48.716396,773000
1998-02-19,84.640625,84.703125,83.828125,83.828125,48.257633,804800
1998-02-20,84.078125,84.468750,83.312500,84.281250,48.518433,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,48.500492,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,48.356583,702700
1998-02-25,84.250000,85.156250,84.078125,84.687500,48.752357,687400
1998-02-26,84.609375,85.218750,84.406250,85.156250,49.022221,439800
1998-02-27,85.109375,85.953125,84.890625,85.593750,49.274040,451300
1998-03-02,85.750000,85.859375,85.281250,85.718750,49.346027,1062800
1998-03-03,85.218750,86.125000,85.187500,86.109375,49.570885,596600
1998-03-04,85.625000,85.875000,85.109375,85.531250,49.238071,691700
1998-03-05,84.500000,85.265625,84.218750,84.781250,48.806313,778300
1998-03-06,85.093750,86.031250,85.093750,86.031250,49.525887,933100
1998-03-09,85.625000,86.578125,85.593750,85.875000,49.435940,685300
1998-03-10,86.375000,86.750000,86.156250,86.718750,49.921688,563700
1998-03-11,86.937500,87.234375,86.734375,87.000000,50.083572,406600
1998-03-12,86.937500,87.062500,86.312500,86.890625,50.020645,576700
1998-03-13,87.187500,87.250000,86.093750,86.156250,49.597813,458900
1998-03-16,86.562500,87.468750,86.343750,87.468750,50.353432,733000
1998-03-17,87.281250,87.781250,87.078125,87.765625,50.524395,499900
1998-03-18,87.593750,88.015625,87.281250,87.984375,50.650284,410900
1998-03-19,88.000000,88.296875,87.843750,88.234375,50.794174,730000
1998-03-20,88.562500,89.406250,88.281250,89.156250,51.324894,754300
1998-03-23,89.187500,89.187500,88.390625,88.484375,50.938072,551600
1998-03-24,88.968750,89.859375,88.921875,89.437500,51.486797,470300
1998-03-25,90.062500,90.062500,88.250000,88.875000,51.162994,966200
1998-03-26,88.843750,89.296875,88.515625,88.625000,51.019077,412800
1998-03-27,89.343750,89.406250,87.875000,88.265625,50.812214,584100
1998-03-30,88.281250,88.562500,87.687500,88.156250,50.749195,562400
1998-03-31,88.468750,89.312500,88.062500,88.187500,50.767212,620000
1998-04-01,88.359375,89.203125,87.718750,88.937500,51.198940,373700
1998-04-02,88.906250,90.250000,88.828125,90.156250,51.900574,440600
1998-04-03,90.250000,90.578125,89.812500,90.093750,51.864552,493300
1998-04-06,90.875000,91.250000,90.343750,90.375000,52.026497,610500
1998-04-07,90.375000,90.390625,89.250000,89.890625,51.747635,707300
1998-04-08,90.062500,90.062500,88.828125,89.281250,51.396862,949500
1998-04-09,89.656250,90.468750,89.625000,90.375000,52.026497,451700
1998-04-13,90.734375,90.734375,89.562500,90.343750,52.008492,337900
1998-04-14,90.531250,91.515625,90.531250,91.437500,52.638111,451500
1998-04-15,91.656250,92.015625,91.203125,92.015625,52.970963,261800
1998-04-16,91.703125,91.703125,90.796875,91.062500,52.422230,232800
1998-04-17,90.734375,91.750000,90.578125,91.703125,52.988892,382900
1998-04-20,91.593750,91.656250,91.000000,91.296875,52.754181,299400
1998-04-21,91.250000,91.921875,90.968750,91.906250,53.106289,372000
1998-04-22,91.859375,92.109375,91.687500,91.843750,53.070141,503400
1998-04-23,91.718750,92.031250,91.109375,91.312500,52.763184,597700
1998-04-24,91.218750,91.562500,90.062500,90.546875,52.320774,820200
1998-04-27,89.437500,89.875000,88.390625,89.250000,51.571381,1916800
1998-04-28,90.031250,90.125000,88.656250,88.984375,51.417896,437200
1998-04-29,89.281250,89.953125,88.921875,89.421875,51.670723,298700
1998-04-30,90.328125,91.312500,90.218750,90.875000,52.510387,443100
1998-05-01,91.093750,91.656250,90.812500,91.656250,52.961769,338300
1998-05-04,91.984375,92.578125,91.812500,91.812500,53.052094,542500
1998-05-05,91.500000,91.859375,90.968750,91.484375,52.862450,325600
1998-05-06,91.843750,91.859375,90.281250,90.281250,52.167316,665500
1998-05-07,90.625000,90.625000,89.718750,89.734375,51.851254,593100
1998-05-08,89.750000,90.984375,89.687500,90.937500,52.546463,638100
1998-05-11,91.281250,91.843750,90.687500,90.921875,52.537487,703100
1998-05-12,90.906250,91.921875,90.609375,91.921875,53.115303,479000
1998-05-13,91.906250,92.359375,91.625000,92.250000,53.304890,399400
